NCAA,ESPN,ESPN_PBP,Warren_Nolan,Trank,name_247,conference
Villanova,Villanova,Villanova,Villanova,Villanova,Villanova,Big East
Virginia,UVA,Virginia,Virginia,Virginia,Virginia,ACC
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,ACC
VMI,VMI,VMI,VMI,VMI,Virginia Military Institute,Southern
Wagner,Wagner,Wagner,Wagner,Wagner,Wagner,NEC
Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,Wake Forest,ACC
Washington,Washington,Washington,Washington,Washington,Washington,Pac 12
Washington St.,Washington St,Washington State,Washington State,Washington St.,Washington State,Pac 12
Weber St.,Weber State,Weber State,Weber State,Weber St.,Weber State,Big Sky
West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,Big 12
Western Caro.,W Carolina,Western Carolina,Western Carolina,Western Carolina,Western Carolina,Southern
Western Ill.,W Illinois,Western Illinois,Western Illinois,Western Illinois,Western Illinois,Summit
Western Ky.,W Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,C-USA
Western Mich.,W Michigan,Western Michigan,Western Michigan,Western Michigan,Western Michigan,MAC
Wichita St.,Wichita State,Wichita State,Wichita State,Wichita St.,Wichita State,AAC
William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,William & Mary,CAA
Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,Winthrop,Big South
Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Wisconsin,Big 10
Wofford,Wofford,Wofford,Wofford,Wofford,Wofford,Southern
Wright St.,Wright State,Wright State,Wright State,Wright St.,Wright State,Horizon
Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,MWC
Xavier,Xavier,Xavier,Xavier,Xavier,Xavier,Big East
Yale,Yale,Yale,Yale,Yale,Yale,Ivy
Youngstown St.,Youngstown St,Youngstown State,Youngstown State,Youngstown St.,Youngstown State,Horizon
